pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,di0247,di0247,0.137237611126992,0.000767613996718127,178.784664836415,0,4691367
CoyoteCalifornia,di0247,di0678,0.112897833667758,0.00101390057022997,111.350005101734,0,2985230
CoyoteCalifornia,di0247,di0794,0.113340163091833,0.00091742869805224,123.541113693589,0,3429111
CoyoteCalifornia,di0247,di1085,0.114088136922308,0.000899760722281361,126.798307702336,0,4182810
CoyoteCalifornia,di0247,di1426,0.115028758574351,0.0010634587187738,108.164761399467,0,2527594
CoyoteCalifornia,di0247,di1436,0.11436755067102,0.00102239743117745,111.862126393753,0,3178642
CoyoteCalifornia,di0247,di1522,0.114575462220507,0.00090158546565288,127.08219751251,0,4056235
CoyoteCalifornia,di0247,Dingo02,0.108982147261544,0.000967209226256001,112.676910334495,0,3450283
CoyoteCalifornia,di0247,Dingo03,0.108881991135552,0.00089614385975173,121.50057153292,0,2793180
CoyoteCalifornia,di0247,Dingo04,0.109651563485552,0.00091141183927852,120.309566718326,0,4079251
CoyoteCalifornia,di0247,Dingo05,0.1069105958581,0.0010688860540681,100.02057324184,0,2674328
CoyoteCalifornia,di0247,Dingo06,0.10787173902217,0.0010867576876462,99.2601572994705,0,2891464
CoyoteCalifornia,di0247,Dingo07,0.108643667760661,0.00088183890419659,123.201264135247,0,4248347
CoyoteCalifornia,di0247,Dingo08,0.108209069921763,0.00107138323644677,100.999405479441,0,2830278
CoyoteCalifornia,di0247,Dingo09,0.108545806342741,0.000891231436733543,121.793062799235,0,3128868
CoyoteCalifornia,di0247,Dingo10,0.108601268051239,0.000867302668949159,125.217264905713,0,4342569
CoyoteCalifornia,di0247,Dingo12,0.108169391627199,0.000966449768872967,111.924483931887,0,3415340
CoyoteCalifornia,di0247,Dingo13,0.108934801539285,0.000950841480657519,114.566732473593,0,3372733
CoyoteCalifornia,di0247,Dingo14,0.109020419511291,0.000967536878707342,112.67830912755,0,3398955
CoyoteCalifornia,di0247,Dingo15,0.107775861645104,0.000924316641519961,116.600585561108,0,3294831
CoyoteCalifornia,di0247,Dingo16,0.107639119269571,0.000941534039543876,114.323130921232,0,3360983
CoyoteCalifornia,di0247,Dingo17,0.108232432240223,0.000934205549537018,115.855051700198,0,3318266
CoyoteCalifornia,di0247,Dingo18,0.107526514289451,0.00100690980122782,106.788626109642,0,3036193
CoyoteCalifornia,di0247,Dingo19,0.108041019157563,0.000921985061359177,117.183047411083,0,3453362
CoyoteCalifornia,di0247,Dingo20,0.108429508744627,0.00105646084861544,102.634668276379,0,2507311
CoyoteCalifornia,di0247,Dingo21,0.109303592746083,0.000929302344797182,117.618978751138,0,3691633
