pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,LagottoRomagnolo,AndeanFox,Castlemaine.99bp,0.0241386551710806,0.00021090918636226,114.450468409753,0,1491471
CoyoteCalifornia,LagottoRomagnolo,AndeanFox,Meredith.99bp,0.0250574065790221,0.000207703749328244,120.640126430374,0,1596144
CoyoteCalifornia,Landseer,AndeanFox,FernCave.100bp,0.0238597013522194,0.000682479456806673,34.960321683321,9.02444677500822e-268,63821
CoyoteCalifornia,Landseer,AndeanFox,Castlemaine.99bp,0.0246967041432391,0.000223236218057145,110.630364365504,0,1316289
CoyoteCalifornia,Landseer,AndeanFox,Meredith.99bp,0.0251131670668798,0.000226492702574963,110.878482094,0,1446313
CoyoteCalifornia,LapponianHerder,AndeanFox,FernCave.100bp,0.0238833101106684,0.000655461177361326,36.4374137409859,1.08869276169302e-290,62439
CoyoteCalifornia,LapponianHerder,AndeanFox,Castlemaine.99bp,0.0235923034047915,0.000223908846586661,105.365660019424,0,1252294
CoyoteCalifornia,LapponianHerder,AndeanFox,Meredith.99bp,0.0244164567294836,0.000219712612902031,111.129062674116,0,1421060
CoyoteCalifornia,Leonberger,AndeanFox,FernCave.100bp,0.0248347238661622,0.000654545033494433,37.9419636469878,0,69278
CoyoteCalifornia,Leonberger,AndeanFox,Castlemaine.99bp,0.0243460257455192,0.000224283186801373,108.550382633364,0,1434269
CoyoteCalifornia,Leonberger,AndeanFox,Meredith.99bp,0.0252291119652958,0.000224643769035537,112.307196739139,0,1558081
CoyoteCalifornia,Lowchen,AndeanFox,FernCave.100bp,0.0246516689817135,0.00063412808671088,38.8749047681797,0,69833
CoyoteCalifornia,Lowchen,AndeanFox,Castlemaine.99bp,0.024129469142442,0.000224487141160763,107.487088203248,0,1461522
CoyoteCalifornia,Lowchen,AndeanFox,Meredith.99bp,0.0250412134572414,0.000217203236820931,115.289319918773,0,1563203
CoyoteCalifornia,MiniatureBullTerrier,AndeanFox,FernCave.100bp,0.0245927604995288,0.000647172493945278,38.0003178899137,0,71027
CoyoteCalifornia,MiniatureBullTerrier,AndeanFox,Castlemaine.99bp,0.024932144648855,0.000227117635042113,109.776348473477,0,1477039
CoyoteCalifornia,MiniatureBullTerrier,AndeanFox,Meredith.99bp,0.0253811983516632,0.000219675730330802,115.539383041734,0,1587297
CoyoteCalifornia,MiniaturePoodle,AndeanFox,FernCave.100bp,0.0245595038881782,0.000599239781220551,40.9844350422706,0,71113
CoyoteCalifornia,MiniaturePoodle,AndeanFox,Castlemaine.99bp,0.0242864310383687,0.000215342476689576,112.780494641466,0,1481882
CoyoteCalifornia,MiniaturePoodle,AndeanFox,Meredith.99bp,0.0251018834448361,0.000212275946582236,118.251190721279,0,1590543
CoyoteCalifornia,MiniatureSchnauzer,AndeanFox,FernCave.100bp,0.0241984205756699,0.000624352883584056,38.757602009877,0,69519
CoyoteCalifornia,MiniatureSchnauzer,AndeanFox,Castlemaine.99bp,0.0241569393770657,0.000216533920888413,111.561917310473,0,1443876
CoyoteCalifornia,MiniatureSchnauzer,AndeanFox,Meredith.99bp,0.025022895255116,0.000212610896020675,117.693381305738,0,1560003
CoyoteCalifornia,NorwegianElkhound,AndeanFox,FernCave.100bp,0.0238157027227967,0.00059360719507372,40.1203066951354,0,71287
CoyoteCalifornia,NorwegianElkhound,AndeanFox,Castlemaine.99bp,0.0236907294924751,0.000210660070767563,112.45951549411,0,1487966
CoyoteCalifornia,NorwegianElkhound,AndeanFox,Meredith.99bp,0.024364731087007,0.000209143012073615,116.497944853309,0,1594010
CoyoteCalifornia,NorwegianLundehund,AndeanFox,FernCave.100bp,0.024190290136132,0.000680170160382291,35.5650564301965,4.8622793683148e-277,70128
CoyoteCalifornia,NorwegianLundehund,AndeanFox,Castlemaine.99bp,0.0239727338258939,0.000225996043328413,106.075900590247,0,1454305
CoyoteCalifornia,NorwegianLundehund,AndeanFox,Meredith.99bp,0.0245673746356104,0.00022684687877703,108.299372546175,0,1576152
CoyoteCalifornia,NorwichTerrier,AndeanFox,FernCave.100bp,0.0242939743446004,0.00061373132907846,39.5840544446032,0,71356
CoyoteCalifornia,NorwichTerrier,AndeanFox,Castlemaine.99bp,0.0241699589855757,0.000214224707558517,112.825263066229,0,1486794
CoyoteCalifornia,NorwichTerrier,AndeanFox,Meredith.99bp,0.0249397004172882,0.000214508264002782,116.264520312209,0,1594262
CoyoteCalifornia,NovaScotiaDuckTollingRetriever,AndeanFox,FernCave.100bp,0.0243158844510864,0.000635541969552079,38.2600766212559,0,70931
CoyoteCalifornia,NovaScotiaDuckTollingRetriever,AndeanFox,Castlemaine.99bp,0.0244105240387216,0.000220592173566041,110.659066657292,0,1479280
CoyoteCalifornia,NovaScotiaDuckTollingRetriever,AndeanFox,Meredith.99bp,0.0250218470842815,0.000214366333370845,116.724705278206,0,1586024
CoyoteCalifornia,PembrokeWelshCorgi,AndeanFox,FernCave.100bp,0.0244891953249809,0.000611152744515106,40.0704988151707,0,71358
CoyoteCalifornia,PembrokeWelshCorgi,AndeanFox,Castlemaine.99bp,0.0240999702719079,0.000215985593194754,111.581378718056,0,1490173
CoyoteCalifornia,PembrokeWelshCorgi,AndeanFox,Meredith.99bp,0.0251247319336944,0.000211452674834799,118.819645830082,0,1595221
CoyoteCalifornia,PeruvianIncaOrchid,AndeanFox,FernCave.100bp,0.0249719702374887,0.000636078606296393,39.2592519073853,0,68677
CoyoteCalifornia,PeruvianIncaOrchid,AndeanFox,Castlemaine.99bp,0.0243361227257554,0.000217670571370897,111.802539831111,0,1420142
CoyoteCalifornia,PeruvianIncaOrchid,AndeanFox,Meredith.99bp,0.0249074086661993,0.000216474529333142,115.059303941797,0,1544691
CoyoteCalifornia,PetitBassetGriffonVendeen,AndeanFox,FernCave.100bp,0.0245440011627059,0.000667003836187464,36.7973913058691,2.03242282876272e-296,68805
CoyoteCalifornia,PetitBassetGriffonVendeen,AndeanFox,Castlemaine.99bp,0.0243099399817243,0.000229845679079267,105.766356274814,0,1398574
CoyoteCalifornia,PetitBassetGriffonVendeen,AndeanFox,Meredith.99bp,0.0250670414600408,0.0002231285997405,112.343471384636,0,1523684
CoyoteCalifornia,Pomeranian,AndeanFox,FernCave.100bp,0.0240789901015264,0.000634470394363098,37.9513217881468,0,70819
