target,source,p,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,valid
Dingo13,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.31898749948195,0.813318668606633,NA,0.186681331393367,0.0301840597053497,NA,0.0301840597053496,26.9453041289368,NA,6.18476550920289,2,TRUE
Dingo15,Dingo_Ancient_Nullarbor,1.94953140908053e-10,1,NA,NA,2.45277602992072e-13,NA,NA,4077013097817.68,NA,NA,1,FALSE
Dingo15,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.461272931675846,0.786179855879156,NA,0.213820144120844,0.0299817588693915,NA,0.0299817588693915,26.2219391231836,NA,7.13167446420677,2,TRUE
Dingo16,Dingo_Ancient_Nullarbor,3.97420707796085e-10,1,NA,NA,2.1683793799434e-13,NA,NA,4611739113780.46,NA,NA,1,FALSE
Dingo16,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.197866458756474,0.798159581209768,NA,0.201840418790232,0.0271192335399921,NA,0.0271192335399921,29.4314948109702,NA,7.44270366242405,2,TRUE
Dingo19,Dingo_Ancient_Nullarbor,0.000247073754246077,1,NA,NA,6.39841283431448e-14,NA,NA,15628875877421.2,NA,NA,1,FALSE
Dingo19,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.99826268876812,0.852080298674492,NA,0.147919701325509,0.0297042915462309,NA,0.029704291546231,28.6854274019072,NA,4.97974176880436,2,TRUE
Dingo20,Dingo_Ancient_Nullarbor,0.0826130772211691,1,NA,NA,1.13766422497006e-13,NA,NA,8789939755961.96,NA,NA,1,TRUE
Dingo20,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.673840283374246,0.906829239553175,NA,0.0931707604468247,0.0327931899367235,NA,0.0327931899367234,27.6529743310413,NA,2.84116185789195,2,TRUE
Dingo21,Dingo_Ancient_Nullarbor,0.11657279808431,1,NA,NA,3.23464239449452e-13,NA,NA,3091531854346.67,NA,NA,1,TRUE
Dingo21,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.559415771515238,0.928361595989955,NA,0.0716384040100452,0.0273157750104508,NA,0.0273157750104508,33.986280661441,NA,2.62260192078156,2,TRUE
Dingo22,Dingo_Ancient_Nullarbor,3.55456865541834e-07,1,NA,NA,2.80815072920996e-13,NA,NA,3561062408787.92,NA,NA,1,FALSE
Dingo22,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0866732162665544,0.839998885491184,NA,0.160001114508816,0.0298373854516278,NA,0.0298373854516279,28.1525633957769,NA,5.36243749534318,2,TRUE
Dingo23,Dingo_Ancient_Nullarbor,0.0144255012166931,1,NA,NA,3.91035855740449e-14,NA,NA,25573102448788.1,NA,NA,1,TRUE
