pop1,pop2,pop3,pop4,pop5,alpha,se,z
CoyoteCalifornia,NewGuineaSingingDog,Dingo20,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0599024401996634,0.0382103733068264,1.56770099361897
CoyoteCalifornia,NewGuineaSingingDog,Dingo21,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0345910279917752,0.0302501241198333,1.14350036564299
CoyoteCalifornia,NewGuineaSingingDog,Dingo22,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.167660764394246,0.0330175525564496,5.07792829609642
CoyoteCalifornia,NewGuineaSingingDog,Dingo23,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.146746075618041,0.043715635632549,3.35683270973142
CoyoteCalifornia,NewGuineaSingingDog,Dingo24,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.264327317473982,0.03614106134168,7.31376743408318
CoyoteCalifornia,NewGuineaSingingDog,Dingo25,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.232378807159212,0.0386188045997093,6.01724495534907
CoyoteCalifornia,NewGuineaSingingDog,Dingo26,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.139404229090676,0.0404333891261192,3.44775029013394
CoyoteCalifornia,NewGuineaSingingDog,Dingo27,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.268204469734325,0.0351876288975544,7.62212397189872
CoyoteCalifornia,NewGuineaSingingDog,Dingo28,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.23204966817663,0.0359485990374684,6.45504065220373
CoyoteCalifornia,NewGuineaSingingDog,Dingo29,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.250942801975307,0.0348332787171653,7.20411087376757
CoyoteCalifornia,NewGuineaSingingDog,Dingo30,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.129454176691674,0.0427725864767275,3.02656882258242
CoyoteCalifornia,NewGuineaSingingDog,Dingo31,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0690812207598951,0.0346783887153824,1.99205393672897
CoyoteCalifornia,NewGuineaSingingDog,Dingo32,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0654593117726139,0.0351810510790785,1.86064116235405
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Alpine_Cooinda,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.135508740901936,0.0326315179832873,4.15269497947779
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Desert_Sandy,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0139269871911296,0.0300437686434694,-0.46355659825509
CoyoteCalifornia,NewGuineaSingingDog,Dingo_FraserIsland_D02,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.233096816269336,0.033776840910106,6.90108399686347
CoyoteCalifornia,NewGuineaSingingDog,Dingo_FraserIsland_E56,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.235066977111125,0.0312494104923417,7.52228516978688
CoyoteCalifornia,NewGuineaSingingDog,Dingo_FraserIsland_Y07,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.223976802448013,0.0339256035095636,6.60199905905502
CoyoteCalifornia,NewGuineaSingingDog,Dingo_FraserIsland_Y47,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.291759724733979,0.0296799391227147,9.83019956771708
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Gibson_Desert_D08,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0493225943662585,0.0284788652761278,-1.73190167122293
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Kimberley_D09,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.100238566099112,0.0311482342136154,-3.21811391977065
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Northern_Queensland_D04,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.299863338910331,0.0306828958121119,9.77298038446428
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Northern_Queensland_D10,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.171844185858547,0.0330269181013933,5.20315535742638
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Northern_Territory_D06,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0163507416595785,0.0333664709526442,0.490035091897629
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Simpson_Desert_D03,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0211002232604301,0.0301178231631542,0.700589253948603
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-159148,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.127336601576236,0.0360230696848957,3.53486259472296
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-167767,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0657630373323184,0.0303147351590575,2.16934230126928
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-168535,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0421887735219623,0.030742391292005,1.37233220152702
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-169117,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.170527421529447,0.0345129388498917,4.94097075508774
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-170078,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0179221113403065,0.0284097952618809,0.630842678558606
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-170282,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0061515622645171,0.0319960548673743,0.192260023619028
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-170647,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0293805324842201,0.0302273913397313,0.971983726746605
CoyoteCalifornia,NewGuineaSingingDog,DO-CO-175110,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.195739916285905,0.0349025832733122,5.60817847645033
CoyoteCalifornia,NewGuineaSingingDog,Elly01,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.254716768989709,0.0396409073776005,6.42560389860398
CoyoteCalifornia,NewGuineaSingingDog,HF014,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.255437219387298,0.0373522752765844,6.83859865284909
CoyoteCalifornia,NewGuineaSingingDog,HF081,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.274504745529314,0.037381398748776,7.3433513650503
CoyoteCalifornia,NewGuineaSingingDog,HF145,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.247099537450396,0.0398089943148985,6.20712835636541
CoyoteCalifornia,NewGuineaSingingDog,HF154,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.183402546122922,0.0381420471476624,4.80840856320325
CoyoteCalifornia,NewGuineaSingingDog,ND0413,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.231426247427804,0.0420004975695921,5.51008347090045
CoyoteCalifornia,NewGuineaSingingDog,ND0934,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.191789265672361,0.0291413772118436,6.58133842742391
CoyoteCalifornia,NewGuineaSingingDog,ND1006,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.24535087134736,0.0418701558874694,5.85980314968895
CoyoteCalifornia,NewGuineaSingingDog,ND1009,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.238181743703002,0.0425790747715786,5.59386846662971
CoyoteCalifornia,NewGuineaSingingDog,ND1012,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.314514111457312,0.0405894921303902,7.74865845689725
CoyoteCalifornia,NewGuineaSingingDog,ND1034,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.184518141950071,0.0321959241896118,5.73110251047266
CoyoteCalifornia,NewGuineaSingingDog,ND1099,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.245720707330414,0.0399947350672818,6.14382635407001
CoyoteCalifornia,NewGuineaSingingDog,ND1304,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.301081130086515,0.0344365992615527,8.74305641505842
CoyoteCalifornia,NewGuineaSingingDog,ND1602,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0316027767100421,0.0287553038889812,1.09902426460365
CoyoteCalifornia,NewGuineaSingingDog,ND1603,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0437703732248276,0.02712518244087,1.61364345918198
CoyoteCalifornia,NewGuineaSingingDog,ND1644,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.14251115861701,0.033217976273659,4.29018184139104
CoyoteCalifornia,NewGuineaSingingDog,ND1782,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.223561648323628,0.0438971425234692,5.09285195964869
CoyoteCalifornia,NewGuineaSingingDog,WA0021,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0489263206903379,0.028937450853208,-1.69076125393796
CoyoteCalifornia,NewGuineaSingingDog,WA0164,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0661106203483942,0.0317151507235462,-2.08451225487356
CoyoteCalifornia,NewGuineaSingingDog,WA0517,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0508371416804554,0.0300632884281962,-1.69100402312528
CoyoteCalifornia,NewGuineaSingingDog,WA0741,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0289838232249623,0.0280287995644101,-1.03407294195235
CoyoteCalifornia,NewGuineaSingingDog,WA1142,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0791998800414647,0.0303703375567157,-2.6078037457951
CoyoteCalifornia,NewGuineaSingingDog,wdi0817,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.00576635884150504,0.028709197149973,0.200854061204929
CoyoteCalifornia,NewGuineaSingingDog,wdi0828,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.00542035958017226,0.0270140769480881,-0.200649446234582
CoyoteCalifornia,NewGuineaSingingDog,wdi0964,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0601405430958267,0.0305048782896839,-1.97150575474234
