pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,AlaskanHusky,AndeanFox,Dingo_Northern_Queensland_D04,0.0287995938769136,0.00380415207946621,7.57056849340122,3.71594443836454e-14,6402
CoyoteCalifornia,AlaskanHusky,AndeanFox,Dingo_Northern_Queensland_D10,0.0562448517298187,0.00509276502227833,11.0440696721281,2.34180773457378e-28,14568
CoyoteCalifornia,AlaskanHusky,AndeanFox,Dingo_Northern_Territory_D06,0.0463716992987807,0.00122266112098,37.926861746951,0,338981
CoyoteCalifornia,AlaskanHusky,AndeanFox,Dingo_Simpson_Desert_D03,0.0410284907680826,0.00227305347559907,18.0499452426078,7.8968977691231e-73,30817
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-159148,0.0474789712514872,0.00146926199874584,32.3148432968491,4.32825422539615e-229,289128
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-167564,0.0392704703383715,0.00183249769640762,21.4300243953137,7.0143400961332e-102,48497
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-167565,0.0554121269540505,0.00473734169301812,11.6968820373917,1.32222967949228e-31,21110
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-167767,0.0495979293978777,0.00340666826911103,14.5590722312449,5.11472348266837e-48,81329
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-168535,0.0451754123195166,0.00231477581578353,19.5161069212334,8.01150196885964e-85,116839
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-169117,0.0482907181564227,0.00132639576487212,36.4074731202707,3.24238458661981e-290,445655
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-170078,0.0435911345319281,0.00262449191356535,16.6093613421387,5.96246052733951e-62,45164
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-170282,0.048981733430219,0.00254731287127116,19.2287857462033,2.12546523305404e-82,129362
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-170647,0.038538961038961,0.00270878760709778,14.2273838443362,6.19565455638197e-46,30800
CoyoteCalifornia,AlaskanHusky,AndeanFox,DO-CO-175110,0.0469497310622364,0.00139545465231292,33.644755839553,3.72019202030543e-248,332233
CoyoteCalifornia,AlaskanHusky,AndeanFox,Elly01,0.0477500089457783,0.00169758776495573,28.1281533311613,4.43478439387708e-174,195623
CoyoteCalifornia,AlaskanHusky,AndeanFox,HF014,0.0442994416729134,0.00156366440530288,28.3305302101141,1.45431053316098e-176,232122
CoyoteCalifornia,AlaskanHusky,AndeanFox,HF081,0.0467930885613288,0.00146673277514836,31.9029405725223,2.4307442828654e-223,308069
CoyoteCalifornia,AlaskanHusky,AndeanFox,HF093,0.0474252070260006,0.00138962752418493,34.1279991944729,2.8356408858226e-255,252263
CoyoteCalifornia,AlaskanHusky,AndeanFox,HF145,0.0467467525840829,0.00117783526238666,39.6887018727554,0,480151
CoyoteCalifornia,AlaskanHusky,AndeanFox,HF154,0.0466715438091244,0.00123819905726439,37.6930862088023,0,322935
CoyoteCalifornia,AlaskanHusky,AndeanFox,HF225,0.0465921691069084,0.00111898810643031,41.6377697306741,0,352629
CoyoteCalifornia,AlaskanHusky,AndeanFox,LV3003932745,0.0507141368130877,0.00125725657050953,40.3371419984185,0,321402
CoyoteCalifornia,AlaskanHusky,AndeanFox,ND0090,0.0438312979832134,0.00156135031628158,28.0726865240592,2.11172128384927e-173,226251
CoyoteCalifornia,AlaskanHusky,AndeanFox,ND0413,0.0465487771704825,0.00125108535654398,37.2067156944989,5.31447961559103e-303,356591
