"pat","wt","dof","chisq","p","f4rank","Dingo_Ancient_Nullarbor","HighlandWildDog","Papua_Indonesia_518bp","feasible","best","dofdiff","chisqdiff","p_nested","target","right","source"
"0",0,5,18.7578379540122,0.00213229127434154,0,1,NA,NA,TRUE,NA,NA,NA,NA,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,6.86242581689521,0.0764144283395616,1,1.16285321470891,-0.162853214708906,NA,FALSE,NA,NA,NA,NA,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,16.1114235697818,0.00287323677131597,0,1,NA,NA,TRUE,TRUE,0,-115.331617403036,1,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,131.443040972817,1.91325230466094e-27,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,3.72314377817188,0.292953252521077,1,1.02225282916752,NA,-0.0222528291675187,FALSE,NA,NA,NA,NA,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,5.33219372686351,0.254878251672104,0,1,NA,NA,TRUE,TRUE,0,-570.201952547181,1,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,575.534146274044,3.05418777266833e-123,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"WA0164","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"0",0,5,9.28313563558587,0.0982899398014427,0,1,NA,NA,TRUE,NA,NA,NA,NA,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,6.62461788222178,0.0848753356740224,1,1.08124631089484,-0.0812463108948425,NA,FALSE,NA,NA,NA,NA,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,9.41294946319428,0.0515670032161785,0,1,NA,NA,TRUE,TRUE,0,-131.456893955358,1,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
