2	0.60968
2	0.61121
2	0.60972
2	0.61121
2	0.60972
2	0.61121
2	0.60972
2	0.60968
2	0.61121
2	0.60972
3	0.61192
3	0.61391
3	0.61382
3	0.61192
3	0.61391
3	0.61382
3	0.61192
3	0.61391
3	0.61382
3	0.61192
4	0.62072
4	0.62532
4	0.62072
4	0.62072
4	0.61342
4	0.62532
4	0.62072
4	0.61342
4	0.61342
4	0.62532
5	0.62329
5	0.62329
5	0.62329
5	0.66933
5	0.65437
5	0.62329
5	0.62329
5	0.66933
5	0.65437
5	0.62329
6	0.65623
6	0.66236
6	0.65623
6	0.69562
6	0.69562
6	0.65623
6	0.69562
6	0.69562
6	0.65318
6	0.65623
7	0.7087
7	0.69855
7	0.70735
7	0.69855
7	0.68911
7	0.69855
7	0.70735
7	0.68911
7	0.7087
7	0.7087
8	0.75088
8	0.75088
8	0.75088
8	0.75645
8	0.75645
8	0.75088
8	0.75088
8	0.75088
8	0.75088
8	0.75088
9	0.78665
9	0.78665
9	0.78665
9	0.78665
9	0.78665
9	0.78665
9	0.7931
9	0.7931
