pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,di0247,ND0413,0.114363666782492,0.00105828181667808,108.065417906808,0,3108120
CoyoteCalifornia,di0247,ND0934,0.114798071795311,0.000921762835790575,124.5418749139,0,4014719
CoyoteCalifornia,di0247,ND1006,0.112855648336843,0.00108648278034544,103.872468462834,0,3105631
CoyoteCalifornia,di0247,ND1009,0.114035023744382,0.0010673101050398,106.843384322806,0,2879418
CoyoteCalifornia,di0247,ND1012,0.112871191989813,0.000988634483569318,114.168779124827,0,2893112
CoyoteCalifornia,di0247,ND1034,0.113867793895106,0.000900869292094437,126.397685984361,0,4028997
CoyoteCalifornia,di0247,ND1039,0.113912191984669,0.000911256879883848,125.005576911736,0,3999111
CoyoteCalifornia,di0247,ND1099,0.113607400376259,0.00101993874217364,111.386493794858,0,3038332
CoyoteCalifornia,di0247,ND1304,0.113745800970985,0.000982350463733521,115.789430727892,0,3276055
CoyoteCalifornia,di0247,ND1602,0.114974131518558,0.000887087092342456,129.608617362424,0,4332879
CoyoteCalifornia,di0247,ND1603,0.115020617423647,0.000886010449910264,129.818578816194,0,4494742
CoyoteCalifornia,di0247,ND1644,0.113798671741508,0.000885335499067006,128.537341901948,0,4025873
CoyoteCalifornia,di0247,ND1782,0.113558344047118,0.00104662446655108,108.499607716342,0,2772905
CoyoteCalifornia,di0247,NewGuineaSingingDog01,0.104507865191532,0.000887713077086528,117.727076337014,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog02,0.105551377668812,0.000913812646371134,115.506584514856,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog03,0.105493079096136,0.000907840833816503,116.202174617603,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog07,0.104542183546928,0.000887628128094761,117.777006201146,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog08,0.105650655768351,0.000898674691191542,117.562736331508,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog09,0.105751372680927,0.000905358291420192,116.806101720281,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog10,0.105894987537748,0.000899745137139611,117.694426084257,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog11,0.105655771548037,0.000913673109422995,115.638482142438,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog12,0.105683748468197,0.000907291146565635,116.482728689948,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog13,0.105965755823409,0.000898375900401178,117.952580624758,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog14,0.105825711354494,0.000904767029299973,116.964597434958,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog15,0.105947051253931,0.000915296122054469,115.751666265255,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog16,0.105557292789074,0.000914341593457138,115.446233163211,0,4691367
CoyoteCalifornia,di0247,NewGuineaSingingDog17,0.105373071430992,0.000903472496435429,116.631188936832,0,4691367
CoyoteCalifornia,di0247,Nunderah.983bp,0.115411397812713,0.00107364379151862,107.495054434646,0,234080
CoyoteCalifornia,di0247,Papua_Indonesia_518bp,0.10608079211665,0.000903134013599048,117.458528323954,0,4484794
CoyoteCalifornia,di0247,TowerHill.460bp,0.114291910648438,0.00219729677390221,52.0147810736851,0,27666
CoyoteCalifornia,di0247,WA0021,0.115189263422118,0.000906809363595931,127.02698940529,0,4158569
CoyoteCalifornia,di0247,WA0164,0.115903070961227,0.000916033251851574,126.527143776662,0,4246488
CoyoteCalifornia,di0247,WA0517,0.114384485735259,0.00086793075177335,131.789875518927,0,4145501
CoyoteCalifornia,di0247,WA0741,0.11560147159376,0.000910276440943502,126.996005162936,0,4119887
CoyoteCalifornia,di0247,WA1142,0.115890269806586,0.000908394222477262,127.577066144855,0,4264314
CoyoteCalifornia,di0247,wdi0817,0.115935992918518,0.000901340998817814,128.626117163846,0,4252217
CoyoteCalifornia,di0247,wdi0828,0.115047481005054,0.000877137007808685,131.162497968786,0,4345106
CoyoteCalifornia,di0247,wdi0964,0.115921880292127,0.000929139239196858,124.762657093602,0,3861868
CoyoteCalifornia,di0678,di0247,0.112897833667758,0.00101390057022997,111.350005101734,0,2985230
CoyoteCalifornia,di0678,di0678,0.136120950860478,0.000807346501967213,168.602886776372,0,3864710
CoyoteCalifornia,di0678,di0794,0.114929654082742,0.00101944333244284,112.737658313329,0,2926538
CoyoteCalifornia,di0678,di1085,0.11324054839933,0.000968907614267053,116.8744540056,0,3557043
CoyoteCalifornia,di0678,di1426,0.116202952876038,0.00109397839117312,106.220519357269,0,2258002
CoyoteCalifornia,di0678,di1436,0.117863415247884,0.00102095133727731,115.444694516199,0,2909007
CoyoteCalifornia,di0678,di1522,0.114128803908178,0.00102341884702349,111.51719966865,0,3395751
CoyoteCalifornia,di0678,Dingo02,0.117168332589126,0.0010677132969855,109.737635486914,0,3052463
CoyoteCalifornia,di0678,Dingo03,0.111253840174491,0.000979378368366947,113.596382938292,0,3663896
CoyoteCalifornia,di0678,Dingo04,0.113126349206349,0.00100750243653202,112.283946027711,0,3543750
CoyoteCalifornia,di0678,Dingo05,0.115322510331831,0.0010511262519429,109.713281462307,0,2580615
CoyoteCalifornia,di0678,Dingo06,0.117133653586624,0.00114176205855471,102.5902487379,0,2600858
CoyoteCalifornia,di0678,Dingo07,0.113508894843223,0.000958085622540911,118.474687619453,0,3708216
CoyoteCalifornia,di0678,Dingo08,0.118328714010547,0.00107142378547736,110.440626402397,0,2732363
CoyoteCalifornia,di0678,Dingo09,0.114406274803352,0.000987063831020494,115.905649875825,0,3323642
CoyoteCalifornia,di0678,Dingo10,0.111554667710114,0.000949793933932108,117.451442596903,0,3641775
CoyoteCalifornia,di0678,Dingo12,0.115416298761286,0.00107146566767134,107.718149301158,0,2938935
CoyoteCalifornia,di0678,Dingo13,0.116451490530021,0.00108040791132331,107.784744363255,0,2976089
CoyoteCalifornia,di0678,Dingo14,0.115699478952658,0.00105101135850664,110.083947253484,0,2988596
CoyoteCalifornia,di0678,Dingo15,0.115564020562755,0.00103175177215457,112.007581359834,0,2999013
CoyoteCalifornia,di0678,Dingo16,0.117173411226566,0.00105428126901341,111.140560560481,0,3009932
CoyoteCalifornia,di0678,Dingo17,0.114900456695833,0.00102855408332186,111.710661168877,0,2880254
CoyoteCalifornia,di0678,Dingo18,0.112279897172924,0.00107428185874486,104.516236832024,0,2690731
CoyoteCalifornia,di0678,Dingo19,0.114966161241229,0.00100756711809412,114.102732390369,0,2960806
CoyoteCalifornia,di0678,Dingo20,0.113782121286412,0.00119937270201818,94.8680265066487,0,2243450
CoyoteCalifornia,di0678,Dingo21,0.114451142031697,0.0010315826418792,110.947138295392,0,3163660
CoyoteCalifornia,di0678,Dingo22,0.114179045390301,0.00104968401549303,108.774682385414,0,3018553
CoyoteCalifornia,di0678,Dingo23,0.117282612916727,0.00106346554269217,110.283416066143,0,2884072
CoyoteCalifornia,di0678,Dingo24,0.118609976995678,0.00104173830668225,113.857747415883,0,2712099
CoyoteCalifornia,di0678,Dingo25,0.116584720048817,0.00100860025103997,115.590611769733,0,2618778
CoyoteCalifornia,di0678,Dingo26,0.115698124512328,0.0010307696921383,112.244398913511,0,2617026
CoyoteCalifornia,di0678,Dingo27,0.113957392027281,0.00100227141706671,113.699133874129,0,2717191
CoyoteCalifornia,di0678,Dingo28,0.115409370714126,0.00102723605090485,112.349416292844,0,3135300
CoyoteCalifornia,di0678,Dingo29,0.115623925941486,0.00107349663732415,107.707767235951,0,2394539
CoyoteCalifornia,di0678,Dingo30,0.113301013684873,0.00107581103137026,105.316835746294,0,2353986
CoyoteCalifornia,di0678,Dingo31,0.11405870736626,0.00100964575114944,112.969036155908,0,3120358
CoyoteCalifornia,di0678,Dingo32,0.113907041785068,0.00103557452841579,109.994055144753,0,3090722
CoyoteCalifornia,di0678,Dingo_Alpine_Cooinda,0.114628120989597,0.00104676174489918,109.507365499526,0,3064693
CoyoteCalifornia,di0678,Dingo_Alpine_D01,0.115940636864997,0.00106009917027513,109.367727205095,0,3013857
CoyoteCalifornia,di0678,Dingo_Alpine_D07,0.115388796027818,0.00104522691071825,110.395929194481,0,3045170
CoyoteCalifornia,di0678,Dingo_Ancient_Curracurrang_D10,0.110199160696483,0.00186778616846007,58.9998804773988,0,43131
CoyoteCalifornia,di0678,Dingo_Ancient_Curracurrang_D13,0.107409296627894,0.00107604170231697,99.81889772173,0,507754
CoyoteCalifornia,di0678,Dingo_Ancient_Curracurrang_D16,0.113824704796343,0.000951372361299113,119.642644065163,0,2754793
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_A19053,0.11391413317759,0.000956981857118114,119.034788726961,0,3397028
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_A19058,0.113038674812178,0.00094844592978363,119.183045930689,0,3829676
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_276,0.113126150155647,0.000942982986821271,119.966268465763,0,2674638
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_295,0.113138183908149,0.000958511310329236,118.035314439104,0,2921317
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_372,0.113213260248903,0.000980472777756133,115.468030135419,0,1481209
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_485,0.112714165771292,0.000957116931758756,117.764258505148,0,2997853
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_615,0.113564839132075,0.0009707080867561,116.99175136326,0,2703460
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_639,0.113105380221101,0.00095817571309178,118.042420273981,0,2183256
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_762,0.112518737403919,0.000959507466140435,117.267182772969,0,3090743
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_884,0.112757246789952,0.000958685260226082,117.616543685423,0,2078403
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_1227,0.112827459660016,0.000955247183509656,118.113365428076,0,2967961
CoyoteCalifornia,di0678,Dingo_Desert_Sandy,0.112625448074845,0.000964918602857626,116.720154157359,0,3493278
CoyoteCalifornia,di0678,Dingo_FraserIsland_D02,0.115041474394359,0.000958318866299504,120.04508983381,0,3757258
CoyoteCalifornia,di0678,Dingo_FraserIsland_E56,0.115128573603868,0.000945023004349127,121.82621277369,0,3782736
CoyoteCalifornia,di0678,Dingo_FraserIsland_Y07,0.11451582562562,0.000955194843126582,119.887399361142,0,3779661
CoyoteCalifornia,di0678,Dingo_FraserIsland_Y47,0.115540567713792,0.000931185345285698,124.079022826914,0,3804417
CoyoteCalifornia,di0678,Dingo_Gibson_Desert_D08,0.112582485293251,0.00100826809254519,111.659276065215,0,3376511
