target,source,right,pat,wt,dof,chisq,p,f4rank,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,feasible,best,dofdiff,chisqdiff,p_nested,weight_Dingo_Ancient_Nullarbor,weight_HighlandWildDog,weight_Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,num_right,all_above_3,sum_above_3,rank
Dingo07,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,11.72003729969,0.0388319509162795,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.42175563683523e-14,NA,NA,70335574840832.8,NA,NA,1,6,TRUE,1,1
Dingo08,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,5.43687787369276,0.142463144736903,1,0.810266760779165,NA,0.189733239220835,TRUE,NA,NA,NA,NA,0.810266760779165,NA,0.189733239220835,0.0349973587524064,NA,0.0349973587524065,23.152226044014,NA,5.42135881062133,2,5,TRUE,2,1
Dingo09,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,2.4778235659927,0.479312196377144,1,0.863757358729349,NA,0.136242641270651,TRUE,NA,NA,NA,NA,0.863757358729349,NA,0.136242641270651,0.030042610841964,NA,0.0300426108419639,28.7510750404835,NA,4.53498006505965,2,5,TRUE,2,1
Dingo10,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,12.362304465639,0.030146853766733,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,4.54957250436477e-13,NA,NA,2198008711896.82,NA,NA,1,6,TRUE,1,1
Dingo13,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,3.51371642126051,0.31898749948195,1,0.813318668606633,NA,0.186681331393367,TRUE,NA,NA,NA,NA,0.813318668606633,NA,0.186681331393367,0.0301840597053497,NA,0.0301840597053496,26.9453041289368,NA,6.18476550920289,2,5,TRUE,2,1
Dingo15,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,2.57849045865762,0.461272931675846,1,0.786179855879156,NA,0.213820144120844,TRUE,NA,NA,NA,NA,0.786179855879156,NA,0.213820144120844,0.0299817588693915,NA,0.0299817588693915,26.2219391231836,NA,7.13167446420677,2,5,TRUE,2,1
Dingo16,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,4.66703365255309,0.197866458756474,1,0.798159581209768,NA,0.201840418790232,TRUE,NA,NA,NA,NA,0.798159581209768,NA,0.201840418790232,0.0271192335399921,NA,0.0271192335399921,29.4314948109702,NA,7.44270366242405,2,5,TRUE,2,1
Dingo19,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,0.0351905524500934,0.99826268876812,1,0.852080298674492,NA,0.147919701325509,TRUE,NA,NA,NA,NA,0.852080298674492,NA,0.147919701325509,0.0297042915462309,NA,0.029704291546231,28.6854274019072,NA,4.97974176880436,2,5,TRUE,2,1
Dingo20,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,9.75076877441456,0.0826130772211691,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13766422497006e-13,NA,NA,8789939755961.96,NA,NA,1,6,TRUE,1,1
Dingo21,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,8.81740208719543,0.11657279808431,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,3.23464239449452e-13,NA,NA,3091531854346.67,NA,NA,1,6,TRUE,1,1
